Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country,Fuel,Owner,Rank,Lat,Long
Heizkraftwerk Niehl,565300,886446,535924,1470182,1519145,1250341,1762167,1605387,1437843,1059082,Germany,Gas,RheinEnergie AG,163,50.9743488,6.9899614
Diemen,1043709,1061649,944331,983910,1063245,1218820,1287229,1320706,1265502,1054189,Netherlands,Gas,Vattenfall,164,52.3387978,5.0211088
Poznan-Karolin,1153452,1043303,1144354,1110598,1227413,1294641,1141567,1175273,1313154,1050986,Poland,Hard Coal,Veolia,165,52.4378744,16.9849715
Balti Elektrijaam,2208958,2236011,1408713,1626481,1602600,1125188,915035,399305,645847,1036068,Estonia,Oil,Eesti Energia AS,166,59.3537973,28.119158
Voelklingen-Fenne model,1578603,1631654,1687422,1492487,1046184,1014192,648753,592800,646600,1030358,Germany,Hard Coal,STEAG GmbH,167,49.2479861,6.8820194
Gichtgaskraftwerk Dillingen/Saar (blast furnace gas),1256058,1349715,1226529,1228151,1262255,875915,1125655,831857,1151493,1029540,Germany,Other Fossil Fuel,Bruchteilsgemeinschaft,168,49.3553758,6.7317259
Turano Lodigiano,622969,485389,513798,412070,577525,637230,790050,538261,681607,1024162,Italy,Gas,F2i,169,45.4821569,9.1957786
Craiova II,1120185,1164735,1241520,1303931,1290216,1265999,1268134,930953,919154,1012091,Romania,Lignite,CE Oltenia SA,170,44.343866,23.818134
Mehrum,3254376,2836020,2540432,1757403,1929983,2319751,710340,835712,875157,1002356,Germany,Hard Coal,Kraftwerk Mehrum GmbH,171,52.3169235,10.0948986
Cas Tresorer,152742,148963,220734,145289,193330,205172,359837,738645,920742,995919,Spain,Gas,ENEL,172,39.5620229,2.692746
Nordjylland,2167889,2038561,1269764,1633507,1142840,1222200,768432,732692,1314903,995140,Denmark,Hard Coal,Aalborg Forsyning,173,57.0725431,10.0424874
Clauscentrale,713739,229082,13,14,19,21,126367,2153734,1676716,993126,Netherlands,Gas,RWE,174,51.1496155,5.9077771
